"","genes","logFC","logCPM","LR","PValue","FDR","symbol"
"ENSG00000111678","ENSG00000111678",0.097885837457296,10.2561049516666,21.5037493249765,3.53137544915216e-06,0.00152836732362882,"C12orf57"
"ENSG00000204389","ENSG00000204389",-0.15857014114364,9.57023077202022,21.4413040453001,3.6482681996128e-06,0.00155264214128522,"HSPA1A"
"ENSG00000074410","ENSG00000074410",-0.147486038002839,9.66900059128984,21.3640245174647,3.79831986742546e-06,0.00159000160351982,"CA12"
"ENSG00000260032","ENSG00000260032",-0.1228593236783,9.83308547530271,21.3178264433191,3.89096334500036e-06,0.00160251208088039,"NORAD"
"ENSG00000205309","ENSG00000205309",-0.167006131917211,9.23091181709005,21.1165621547771,4.32176695769744e-06,0.00175168760737784,"NT5M"
"ENSG00000113013","ENSG00000113013",-0.154412196600629,9.47846591027244,20.9534067372115,4.70590234300481e-06,0.00187758150513481,"HSPA9"
"ENSG00000141367","ENSG00000141367",-0.132474277335766,9.71856810829211,20.8488423443378,4.96992552879592e-06,0.00195241612888929,"CLTC"
"ENSG00000233041","ENSG00000233041",-0.16777954103907,9.4081301343761,20.8012122708296,5.09507027584929e-06,0.0019712518105123,"PHGR1"
"ENSG00000077235","ENSG00000077235",-0.162916527585043,9.47786397441915,20.7717033800109,5.17418459352318e-06,0.00197198214321812,"GTF3C1"
"ENSG00000152661","ENSG00000152661",-0.181107717649019,9.40091074164639,20.6459083449827,5.52551438758312e-06,0.00206025335351807,"GJA1"
"ENSG00000168906","ENSG00000168906",-0.158039998361365,9.4697871517425,20.6315315733955,5.56716198914223e-06,0.00206025335351807,"MAT2A"
"ENSG00000091831","ENSG00000091831",-0.139559573768716,9.71538416162322,20.5679808326386,5.7550675325504e-06,0.00209936642062392,"ESR1"
"ENSG00000183160","ENSG00000183160",0.163935837195441,9.35026612638267,20.4906021434545,5.99247554175085e-06,0.00213026416392923,"TMEM119"
"ENSG00000161016","ENSG00000161016",0.0547856683363982,12.2004638411583,20.4860899149789,6.00661914246738e-06,0.00213026416392923,"RPL8"
"ENSG00000162511","ENSG00000162511",0.100173571623364,10.3316651394549,20.0188306848213,7.66832872543803e-06,0.00268233936991863,"LAPTM5"
"ENSG00000167642","ENSG00000167642",-0.103817277312766,10.1506580948496,19.600926879597,9.54228949688793e-06,0.00329273462571667,"SPINT2"
"ENSG00000166482","ENSG00000166482",0.159383145742729,9.30372911713407,19.5319414351707,9.89315316157387e-06,0.00336828887974385,"MFAP4"
"ENSG00000102317","ENSG00000102317",-0.148674798352683,9.50770694135569,19.3282794608567,1.10064114449677e-05,0.00369800942430593,"RBM3"
"ENSG00000160862","ENSG00000160862",-0.0758994850401158,11.3476751746699,19.2978820808712,1.11830326659795e-05,0.00370855505358166,"AZGP1"
"ENSG00000149806","ENSG00000149806",0.0668869502407517,11.1792356202172,19.2442835911861,1.15014242215775e-05,0.00372311565561815,"FAU"
"ENSG00000196396","ENSG00000196396",-0.167043481597976,9.35868446209023,19.2414432365913,1.15185485331441e-05,0.00372311565561815,"PTPN1"
"ENSG00000253958","ENSG00000253958",-0.155286004435141,9.23099339448047,19.1936687027865,1.18104455613317e-05,0.00376974659260757,"CLDN23"
"ENSG00000067704","ENSG00000067704",-0.159807309350869,9.37454661259413,19.1455545035642,1.21119266342188e-05,0.00381824748894787,"IARS2"
"ENSG00000140395","ENSG00000140395",-0.166402425699966,9.31501461399981,19.1102734347842,1.23378964940981e-05,0.00384205106069261,"WDR61"
"ENSG00000167978","ENSG00000167978",-0.101988108033833,10.0326167119649,19.0402043178474,1.27993106852579e-05,0.00393771564274771,"SRRM2"
